ticker,fiscal_year,altman_z,net_debt_ebitda,current_ratio,sloan_accruals,ccr,ev_ebitda,fcf_yield,fcf,ebitda,net_debt,market_cap,sic
OSIS,2025.0,4.827275261785162,1.3987874563392364,2.041589065311405,0.024918218020642695,0.37376677492493415,19.067691840453435,0.015988133370504504,73760000.0,261104000.0,365229000.0,4613421610.309753,3674.0
OSW,2025.0,3.6296733171308313,0.6325290504725668,1.9134006004002668,-0.016830836026276524,0.7807776084660042,23.108261194558285,0.0347386952051508,83519000.0,106969000.0,67661000.0,2404206591.720705,7997.0
OTTR,2025.0,,1.374795434993068,2.2786914673550682,-0.027771001990525894,0.8322426793218468,9.09199143718932,0.1078426256226999,385985000.0,463789000.0,637615000.0,3579150616.6625977,4911.0
OUT,2025.0,-0.6898632416973998,5.473881419440159,0.9237117183201907,-0.03023571052037051,0.6779810447432224,15.802272919329953,0.046692362312317076,218800000.0,453700000.0,2483500000.0,4685991223.5,6798.0
OXM,2025.0,,0.12369359892057538,1.1792649280032221,-0.08465147096579104,1.1093374802753448,3.040884294797122,0.11720171124284251,59801000.0,174908000.0,21635000.0,510239990.234375,2320.0
PAHC,2025.0,3.7607295451005793,-0.43595181649259945,2.7621144023470645,-0.027194927710658262,0.5133850195425129,,,80124000.0,156070000.0,-68039000.0,,2834.0
PARR,2025.0,3.140149731421173,0.935108910630187,1.6056714545046902,-0.01981016196149453,0.6519515198006685,5.985247974195659,0.08593996047156438,296464000.0,683083000.0,638757000.0,3449664141.957493,1311.0
PAYC,2025.0,2.23144282545447,-0.4976462676529926,1.0876238730347962,-0.029676128811507232,0.9131136516476126,8.570334812515762,0.0605157729685796,408000000.0,743500000.0,-370000000.0,6742043933.105469,7372.0
PAYO,2025.0,0.26148371947393295,-2.1836808694007104,1.0033642926771338,-0.01789710346204342,1.2270037626384713,6.96034227417819,0.11874190178132045,206615000.0,190292000.0,-415537000.0,1740034452.0379162,7389.0
PATK,2025.0,3.19821972865165,2.856239676737614,2.5054434847484863,-0.0631817315925562,0.7382636973023369,10.909990029589242,0.068592382484732,246493000.0,446201000.0,1274457000.0,3593591461.192749,3714.0
PBH,2025.0,3.94020989656126,2.4376015130209185,4.204796338501074,-0.010984081117334895,0.6854240927869889,10.56861751921417,0.08154112566112232,243291000.0,366948000.0,894473000.0,2983660061.4406013,2834.0
PBI,2025.0,2.002094111149247,5.617088513937896,0.7109906133648267,-0.075280431915798,1.2603033880413945,12.19888368733916,0.15836935068202831,316979000.0,304099000.0,1708151000.0,2001517330.4361515,3579.0
